id	Person	
per01	Dorian Gray	
per02	Henry Wotton	
per03	Basil Hallward	
per04	Sibyl Vane	
per05	Duke	
per06	Agatha	
per07	George	
per08	Brandon	
per09	Selby Royal	
per10	James Vane	
per11	Alan Campbell	
per12	Fermor	
per13	Ruxton	
per14	Geoffrey	
per15	de Ferrol	
per16	Marble Arch	
per17	Hetty Merton	
per18	Queen Elizabeth	
per19	Gwendolen	
per20	Henry Ashton	
per21	Kelso	
per22	Radley	
per23	Thomas Burdon	
per24	Duchess	
per25	God	
per26	Jew	
per27	Francis	
per28	Victor	
per29	Shakespeare	
per30	Romeo	
per31	Juliet	
per32	Patti	
per33	Margaret	
per34	Charles	
per35	Chopin	
per36	Adrian Singleton	
per37	Henry	Wife of Henry Wotton
per38	Rosalind	
per39	Gladys	
